lat,lon,species
67.3166666667,-15.8666666667,Umbellula encrinus
66.0333333333,-11.0833333333,Umbellula encrinus
63.3076036,-19.4979935,Umbellula encrinus
63.3076036,-19.4979935,Umbellula encrinus
63.3076086,-19.4986381,Umbellula encrinus
63.3075045,-19.5003731,Umbellula encrinus
63.3074818,-19.5011671,Umbellula encrinus
63.3074973,-19.5014083,Umbellula encrinus
63.3074321,-19.5022551,Umbellula encrinus
63.3073928,-19.503113,Umbellula encrinus
63.3073523,-19.5053181,Umbellula encrinus
63.3073678,-19.5058338,Umbellula encrinus
63.3072161,-19.5103261,Umbellula encrinus
63.2705991,-19.1473255,Umbellula encrinus
63.2185268,-19.962489,Umbellula encrinus
67.0245,-24.4851666667,Umbellula encrinus
67.4346666667,-23.3671666667,Umbellula encrinus
67.7181666667,-22.5513333333,Umbellula encrinus
65.5835,-11.2795,Umbellula encrinus
66.6381666667,-12.5885,Umbellula encrinus
66.5538333333,-13.2543333333,Umbellula encrinus
67.6631666667,-17.2005,Umbellula encrinus
67.3798333333,-17.3461666667,Umbellula encrinus
67.2611666667,-17.4401666667,Umbellula encrinus
67.2611666667,-17.4401666667,Umbellula encrinus
67.2653333333,-17.4163333333,Umbellula encrinus
67.2568333333,-17.4463333333,Umbellula encrinus
67.8356666667,-19.5548333333,Umbellula encrinus
63.1233333333,-22.8983333333,Umbellula encrinus
67.0958333333,-24.7211666667,Umbellula encrinus
67.3285,-16.1183333333,Umbellula encrinus
67.7503333333,-20.4516666667,Umbellula encrinus
67.9908333333,-20.6835,Umbellula encrinus
68.5863333333,-16.9371666667,Umbellula encrinus
67.4631666667,-18.2041666667,Umbellula encrinus
67.4631666667,-18.2041666667,Umbellula encrinus
67.3108333333,-18.3853333333,Umbellula encrinus
63.09,-17.3516666667,Umbellula encrinus
62.0701666667,-20.5925,Umbellula encrinus
62.8625,-14.6936666667,Umbellula encrinus
62.8618333333,-14.6895,Umbellula encrinus
62.2938333333,-15.3266666667,Umbellula encrinus
62.2938333333,-15.3266666667,Umbellula encrinus
68.2353333333,-20.1633333333,Umbellula encrinus
67.8563333333,-22.3081666667,Umbellula encrinus
67.5126666667,-24.1671666667,Umbellula encrinus
67.3166666667,-15.8666666667,Umbellula encrinus
67.2030555556,-21.5877777778,Umbellula encrinus
67.3013888889,-16.8255555556,Umbellula encrinus
67.5805555556,-21.7991666667,Umbellula encrinus
67.8138888889,-21.7366666667,Umbellula encrinus
63.0675,-26.4811111111,Umbellula encrinus
67.7977777778,-21.4544444444,Umbellula encrinus
67.8361111111,-20.4661111111,Umbellula encrinus
67.7311111111,-20.3291666667,Umbellula encrinus
67.7872222222,-19.1775,Umbellula encrinus
67.9119444444,-18.9072222222,Umbellula encrinus
68.0236111111,-18.7622222222,Umbellula encrinus
67.6791666667,-18.2130555556,Umbellula encrinus
67.2197222222,-17.1927777778,Umbellula encrinus
67.1597222222,-16.6108333333,Umbellula encrinus
67.2458333333,-16.2366666667,Umbellula encrinus
67.3883333333,-15.9536111111,Umbellula encrinus
66.7505555556,-12.8261111111,Umbellula encrinus
62.8536111111,-24.1283333333,Umbellula encrinus
63.1227777778,-20.1655555556,Umbellula encrinus
66.6425,-12.7597222222,Umbellula encrinus
66.7897222222,-24.9469444444,Umbellula encrinus
66.9697222222,-25.6811111111,Umbellula encrinus
67.6852777778,-23.0425,Umbellula encrinus
67.5719444444,-21.8086111111,Umbellula encrinus
67.8219444444,-21.7413888889,Umbellula encrinus
67.5605555556,-20.5166666667,Umbellula encrinus
67.4641666667,-19.7575,Umbellula encrinus
67.6738888889,-18.1927777778,Umbellula encrinus
67.5066666667,-18.3016666667,Umbellula encrinus
67.3413888889,-18.0811111111,Umbellula encrinus
67.2930555556,-17.3641666667,Umbellula encrinus
67.4244444444,-17.4108333333,Umbellula encrinus
67.3080555556,-16.8116666667,Umbellula encrinus
